pathway,hugo_gene
Integrin signalling pathway,Map2k4
Integrin signalling pathway,Map3k14
Integrin signalling pathway,Arpc1b
Integrin signalling pathway,Flna
Integrin signalling pathway,Grap
Integrin signalling pathway,Mapk1
Integrin signalling pathway,Pik3c3
Integrin signalling pathway,Itgb3
Integrin signalling pathway,Arfgap1
Integrin signalling pathway,Itgav
Integrin signalling pathway,Crk
Integrin signalling pathway,Tln1
Integrin signalling pathway,Arpc1a
Integrin signalling pathway,Crkl
Integrin signalling pathway,Itgb1
Integrin signalling pathway,Rac2
Integrin signalling pathway,Rhoc
Integrin signalling pathway,Cdc42
Integrin signalling pathway,Rap2c
Integrin signalling pathway,Rras
Integrin signalling pathway,Ilk
Integrin signalling pathway,Map3k1
Integrin signalling pathway,Pik3ca
Integrin signalling pathway,Arl1
Integrin signalling pathway,Itgb7
Integrin signalling pathway,Pik3cd
Integrin signalling pathway,Sos1
Integrin signalling pathway,Map2k3
Integrin signalling pathway,Hras
Integrin signalling pathway,Arpc5
Integrin signalling pathway,Mapk6
Integrin signalling pathway,Arpc2
Integrin signalling pathway,Shc1
Integrin signalling pathway,Sos2
Integrin signalling pathway,Arpc3
Integrin signalling pathway,Braf
Integrin signalling pathway,Pds5a
Integrin signalling pathway,Itga1
Integrin signalling pathway,Ptk2b
Integrin signalling pathway,Ptpn12
Integrin signalling pathway,Nras
Integrin signalling pathway,Rap2b
Integrin signalling pathway,Arhgap10
Integrin signalling pathway,Map2k1
Integrin signalling pathway,Flnb
Integrin signalling pathway,Map2k2
Integrin signalling pathway,Raf1
Integrin signalling pathway,Arf1
Integrin signalling pathway,Pxn
Integrin signalling pathway,Asap1
Integrin signalling pathway,Lims1
Ubiquitin proteasome pathway,Mdm2
Ubiquitin proteasome pathway,Itch
Ubiquitin proteasome pathway,Ube2l3
Ubiquitin proteasome pathway,Ube2h
Ubiquitin proteasome pathway,Ube2s
Ubiquitin proteasome pathway,Nedd4
Ubiquitin proteasome pathway,Psmc5
Ubiquitin proteasome pathway,Ube2n
Ubiquitin proteasome pathway,Ube2b
Ubiquitin proteasome pathway,Ube2a
Ubiquitin proteasome pathway,Smurf2
Ubiquitin proteasome pathway,Psmd7
Ubiquitin proteasome pathway,Uchl5
Ubiquitin proteasome pathway,Psmd13
Ubiquitin proteasome pathway,Ube2g1
Ubiquitin proteasome pathway,Ube2t
Ubiquitin proteasome pathway,Ube2v2
Ubiquitin proteasome pathway,Uba3
Ubiquitin proteasome pathway,Psmd14
Ubiquitin proteasome pathway,Uba2
Ubiquitin proteasome pathway,Wwp1
Ubiquitin proteasome pathway,Psmd12
Ubiquitin proteasome pathway,Psmd11
Ubiquitin proteasome pathway,Psmd2
Ubiquitin proteasome pathway,Ube2e3
Ubiquitin proteasome pathway,Ube3b
Ubiquitin proteasome pathway,Psmc3
Ubiquitin proteasome pathway,Psmd3
Ubiquitin proteasome pathway,Ube2d3
Ubiquitin proteasome pathway,Atg7
Ubiquitin proteasome pathway,Sae1
Ubiquitin proteasome pathway,Psmc6
Ubiquitin proteasome pathway,Ube2l6
Ubiquitin proteasome pathway,Ube2d1
Ubiquitin proteasome pathway,Huwe1
Ubiquitin proteasome pathway,Uba6
Ubiquitin proteasome pathway,Eif3f
Ubiquitin proteasome pathway,Ube3c
Ubiquitin proteasome pathway,Psmc4
Ubiquitin proteasome pathway,Ube3a
Ubiquitin proteasome pathway,Psmc1
Ubiquitin proteasome pathway,Psmd8
Ubiquitin proteasome pathway,Psmd9
Ubiquitin proteasome pathway,Ube2c
Ubiquitin proteasome pathway,Psmd4
Ubiquitin proteasome pathway,Wwp2
Ubiquitin proteasome pathway,Ube2g2
Ubiquitin proteasome pathway,Ube2e1
Ubiquitin proteasome pathway,Haus7
Ubiquitin proteasome pathway,Psmc2
Ubiquitin proteasome pathway,Psmd6
Ubiquitin proteasome pathway,Psmd1
Ubiquitin proteasome pathway,Uba1
Ubiquitin proteasome pathway,Uba7
Ubiquitin proteasome pathway,Ube2k
Ubiquitin proteasome pathway,Ube2d2
Lipoate_biosynthesis,Lias
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Rhoc
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Gngt2
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Gnb2
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Itpr3
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Egr1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Arrb2
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Gnb4
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Map2k1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Itpr1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Gnb1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Mapk3
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Prkca
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Gng11
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Map2k2
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Raf1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Rhoa
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Mapk1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Gng10
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Itpr2
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Grk6
Angiotensin II-stimulated signaling through G proteins and beta-arrestin,Grk2
Ascorbate degradation,Rpe
Cobalamin biosynthesis,Tigar
Hedgehog signaling pathway,Ptch1
Hedgehog signaling pathway,Prkar2a
Hedgehog signaling pathway,Csnk1a1
Hedgehog signaling pathway,Gsk3b
Hedgehog signaling pathway,Crebbp
Hedgehog signaling pathway,Ubr5
Hedgehog signaling pathway,Sufu
Hedgehog signaling pathway,Prkar1a
Hedgehog signaling pathway,Fbxw11
Hedgehog signaling pathway,Sap18
Hedgehog signaling pathway,Csnk1e
Axon guidance mediated by Slit/Robo,Rac2
Axon guidance mediated by Slit/Robo,Rhob
Axon guidance mediated by Slit/Robo,Ntn1
Axon guidance mediated by Slit/Robo,Rhoc
Axon guidance mediated by Slit/Robo,Cdc42
Axon guidance mediated by Slit/Robo,Abl1
Axon guidance mediated by Slit/Robo,Ptprj
Axon guidance mediated by Slit/Robo,Rac1
Axon guidance mediated by Slit/Robo,Cxcr4
Nicotine pharmacodynamics pathway,Cdk5
Nicotine pharmacodynamics pathway,Grb2
Nicotine pharmacodynamics pathway,Prkaca
Nicotine pharmacodynamics pathway,Gnb1
Nicotine pharmacodynamics pathway,Flna
Nicotine pharmacodynamics pathway,Ppp1cc
Nicotine pharmacodynamics pathway,Gnai3
Nicotine pharmacodynamics pathway,Tcf3
Nicotine pharmacodynamics pathway,Ppp1ca
Nicotine pharmacodynamics pathway,Gng2
Nicotine pharmacodynamics pathway,Epb41
Nicotine pharmacodynamics pathway,Ppp1cb
Nicotine pharmacodynamics pathway,Epb41l2
CCKR signaling map,Grb2
CCKR signaling map,Mob1a
CCKR signaling map,Araf
CCKR signaling map,Creb1
CCKR signaling map,Birc3
CCKR signaling map,Ier3
CCKR signaling map,Rhoa
CCKR signaling map,Sp3
CCKR signaling map,Hspb1
CCKR signaling map,Nfkbia
CCKR signaling map,Rps6kb1
CCKR signaling map,Cd38
CCKR signaling map,Rheb
CCKR signaling map,Camk4
CCKR signaling map,Itpr1
CCKR signaling map,Ptpn11
CCKR signaling map,Mcl1
CCKR signaling map,Crk
CCKR signaling map,Atf2
CCKR signaling map,Prkcb
CCKR signaling map,Casp3
CCKR signaling map,Akt1
CCKR signaling map,Itgb1
CCKR signaling map,Calm1
CCKR signaling map,Birc2
CCKR signaling map,Rock1
CCKR signaling map,Prkacb
CCKR signaling map,Stat3
CCKR signaling map,Jak2
CCKR signaling map,Sos1
CCKR signaling map,Prkcq
CCKR signaling map,Rgs2
CCKR signaling map,Foxo1
CCKR signaling map,Egr1
CCKR signaling map,Mef2d
CCKR signaling map,Map2k2
CCKR signaling map,Raf1
CCKR signaling map,Bad
CCKR signaling map,Rps6ka1
CCKR signaling map,Arhgap4
CCKR signaling map,Gsk3b
CCKR signaling map,Map3k11
CCKR signaling map,Gng2
CCKR signaling map,Crem
CCKR signaling map,Csnk1e
CCKR signaling map,Pten
CCKR signaling map,Men1
CCKR signaling map,Fos
CCKR signaling map,Jun
CCKR signaling map,Odc1
CCKR signaling map,Bcl2
CCKR signaling map,Eif4e
CCKR signaling map,Arrb2
CCKR signaling map,Rac1
CCKR signaling map,Calca
CCKR signaling map,Mapk9
CCKR signaling map,Hdac7
CCKR signaling map,Csk
CCKR signaling map,Pik3r1
CCKR signaling map,Ctnnb1
CCKR signaling map,Tacr1
CCKR signaling map,Prkce
CCKR signaling map,Bax
CCKR signaling map,Bcl2l1
CCKR signaling map,Ppp3ca
CCKR signaling map,Gnb1
CCKR signaling map,Mapk3
CCKR signaling map,Ywhab
CCKR signaling map,Map3k14
CCKR signaling map,Tff1
CCKR signaling map,Prkca
CCKR signaling map,Nr4a1
CCKR signaling map,Mapk1
CCKR signaling map,Itgav
CCKR signaling map,Rps6ka3
CCKR signaling map,Srf
CCKR signaling map,Mapk14
CCKR signaling map,Cdc42
CCKR signaling map,Prkaca
CCKR signaling map,Lyn
CCKR signaling map,Pdpk1
CCKR signaling map,Myc
CCKR signaling map,Prkch
CCKR signaling map,Acat1
CCKR signaling map,Prkcd
CCKR signaling map,Plcg1
CCKR signaling map,Elavl1
CCKR signaling map,Elk4
CCKR signaling map,Ap2m1
CCKR signaling map,Shc1
CCKR signaling map,Braf
CCKR signaling map,Map2k5
CCKR signaling map,Ptk2b
CCKR signaling map,Csnk1d
CCKR signaling map,Sp1
CCKR signaling map,Nfatc2
CCKR signaling map,Prkd2
CCKR signaling map,Map2k1
CCKR signaling map,Nr2c2
CCKR signaling map,Eif4ebp1
CCKR signaling map,Pxn
CCKR signaling map,Akt1s1
CCKR signaling map,Klf4
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Igf2r
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Sos2
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Fos
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Grb2
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Map2k1
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Mapk3
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Map2k4
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Rasa1
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Rps6kb2
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Map2k2
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Raf1
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Mapk1
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Rps6ka1
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Sos1
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Map2k3
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Rps6ka3
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Rps6ka4
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade,Rps6kb1
Methylcitrate cycle,Mrpl21
Methylcitrate cycle,Aco1
Methylcitrate cycle,Ireb2
Methylmalonyl pathway,Mmut
Methylmalonyl pathway,Mcee
Notch signaling pathway,Notch1
Notch signaling pathway,Adam10
Notch signaling pathway,Lnx2
Notch signaling pathway,Cir1
Notch signaling pathway,Ncstn
Notch signaling pathway,Numb
Notch signaling pathway,Adam17
Notch signaling pathway,Lfng
Notch signaling pathway,Psen2
Notch signaling pathway,Aph1a
Notch signaling pathway,Notch2
Notch signaling pathway,Pofut1
Notch signaling pathway,Fut8
Notch signaling pathway,Rfng
Notch signaling pathway,Psen1
Notch signaling pathway,Mfng
Notch signaling pathway,Ncor2
Notch signaling pathway,Rbpj
Heme biosynthesis,Eprs1
Heme biosynthesis,Alad
Heme biosynthesis,Cox10
Heme biosynthesis,Ppox
Heme biosynthesis,Coq2
Heme biosynthesis,Fech
Heme biosynthesis,Hmbs
Heme biosynthesis,Cpox
Heme biosynthesis,Urod
p38 MAPK pathway,Rac2
p38 MAPK pathway,Mapkapk3
p38 MAPK pathway,Mapk14
p38 MAPK pathway,Mknk2
p38 MAPK pathway,Cdc42
p38 MAPK pathway,Eif4e
p38 MAPK pathway,Dusp1
p38 MAPK pathway,Creb1
p38 MAPK pathway,Rac1
p38 MAPK pathway,Map3k10
p38 MAPK pathway,Hspb1
p38 MAPK pathway,Dusp10
p38 MAPK pathway,Map2k3
p38 MAPK pathway,Tab2
p38 MAPK pathway,Rps6ka4
p38 MAPK pathway,Atf1
p38 MAPK pathway,Traf6
p38 MAPK pathway,Map3k4
p38 MAPK pathway,Map3k7
p38 MAPK pathway,Mknk1
p38 MAPK pathway,Map2k4
p38 MAPK pathway,Mapkapk2
p38 MAPK pathway,Mef2d
p38 MAPK pathway,Borcs8
p38 MAPK pathway,Mef2a
p38 MAPK pathway,Eif4ebp1
p38 MAPK pathway,Srf
Circadian clock system,Bhlhe40
